『	記号,括弧開,*,*,*,*,『,『,『
新橋	名詞,一般,*,*,*,*,新橋,シンバシ,シンバシ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
も	助詞,係助詞,*,*,*,*,も,モ,モ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
"「	記号,一般,*,*,*,*,*
花柳界	名詞,一般,*,*,*,*,花柳界,カリュウカイ,カリューカイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
何と	副詞,一般,*,*,*,*,何と,ナント,ナント
いって	名詞,一般,*,*,*,*,一手,イッテ,イッテ
も	助詞,係助詞,*,*,*,*,も,モ,モ
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
威厳	名詞,一般,*,*,*,*,威厳,イゲン,イゲン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
そして	接続詞,*,*,*,*,*,そして,ソシテ,ソシテ
心持	名詞,一般,*,*,*,*,心持,ココロモチ,ココロモチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
やさしかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,やさしい,ヤサシカッ,ヤサシカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
妻	名詞,一般,*,*,*,*,妻,ツマ,ツマ
姉さん	名詞,一般,*,*,*,*,姉さん,ネエサン,ネーサン
でし	助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
」"	記号,一般,*,*,*,*,*
と	助詞,格助詞,引用,*,*,*,と,ト,ト
述懐	名詞,サ変接続,*,*,*,*,述懐,ジュッカイ,ジュッカイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
凌雲	名詞,固有名詞,人名,名,*,*,凌雲,リョウウン,リョーウン
閣	名詞,固有名詞,組織,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
一	名詞,数,*,*,*,*,一,イチ,イチ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
「	記号,括弧開,*,*,*,*,「,「,「
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
」	記号,括弧閉,*,*,*,*,」,」,」
明治24年	名詞,固有名詞,一般,*,*,*,明治24年,メイジニジュウヨネン,メイジニジュウヨネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
1891年	名詞,固有名詞,一般,*,*,*,1891年,センハッピャクキュウジュウイチネ,センハッピャクキュウジュウイチネ
、	記号,読点,*,*,*,*,、,、,、
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
浅草	名詞,固有名詞,地域,一般,*,*,浅草,アサクサ,アサクサ
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
もっとも	副詞,一般,*,*,*,*,もっとも,モットモ,モットモ
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ
建築物	名詞,固有名詞,一般,*,*,*,建築物,ケンチクブツ,ケンチクブツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
浅草公園	名詞,固有名詞,一般,*,*,*,浅草公園,アサクサコウエン,アサクサコーエン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
建設	名詞,サ変接続,*,*,*,*,建設,ケンセツ,ケンセツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
高さ	名詞,固有名詞,一般,*,*,*,高さ,タカサ,タカサ
52	名詞,数,*,*,*,*,*
メートル	名詞,接尾,助数詞,*,*,*,メートル,メートル,メートル
、	記号,読点,*,*,*,*,、,、,、
12階建て	名詞,固有名詞,一般,*,*,*,12階建て,ジュウニカイダテ,ジュウニカイダテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
建物	名詞,一般,*,*,*,*,建物,タテモノ,タテモノ
名	名詞,接尾,一般,*,*,*,名,メイ,メイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
雲	名詞,一般,*,*,*,*,雲,クモ,クモ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
も	助詞,係助詞,*,*,*,*,も,モ,モ
凌ぐ	動詞,自立,*,*,五段・ガ行,基本形,凌ぐ,シノグ,シノグ
ほど	助詞,副助詞,*,*,*,*,ほど,ホド,ホド
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
由来	名詞,サ変接続,*,*,*,*,由来,ユライ,ユライ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
「	記号,括弧開,*,*,*,*,「,「,「
凌雲	名詞,固有名詞,人名,名,*,*,凌雲,リョウウン,リョーウン
閣	名詞,固有名詞,組織,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
名付け	動詞,自立,*,*,一段,未然形,名付ける,ナヅケ,ナズケ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
、	記号,読点,*,*,*,*,、,、,、
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
観光スポット	名詞,固有名詞,一般,*,*,*,観光スポット,カンコウスポット,カンコースポット
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目玉	名詞,一般,*,*,*,*,目玉,メダマ,メダマ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
この	連体詞,*,*,*,*,*,この,コノ,コノ
凌雲	名詞,固有名詞,人名,名,*,*,凌雲,リョウウン,リョーウン
閣	名詞,一般,*,*,*,*,*
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
日本初	名詞,固有名詞,一般,*,*,*,日本初,ニッポンハツ,ニッポンハツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
電動	名詞,一般,*,*,*,*,電動,デンドウ,デンドー
エレベーター	名詞,一般,*,*,*,*,エレベーター,エレベーター,エレベーター
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
兼ね備え	動詞,自立,*,*,一段,連用形,兼ね備える,カネソナエ,カネソナエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
話題性	名詞,固有名詞,一般,*,*,*,話題性,ワダイセイ,ワダイセイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
抜群	名詞,一般,*,*,*,*,抜群,バツグン,バツグン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
建造物	名詞,固有名詞,一般,*,*,*,建造物,ケンゾウブツ,ケンゾーブツ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目玉	名詞,一般,*,*,*,*,目玉,メダマ,メダマ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
凌雲	名詞,固有名詞,人名,名,*,*,凌雲,リョウウン,リョーウン
閣	名詞,一般,*,*,*,*,*
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
備え	名詞,一般,*,*,*,*,備え,ソナエ,ソナエ
付き	名詞,接尾,一般,*,*,*,付き,ツキ,ツキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
エレベーター	名詞,一般,*,*,*,*,エレベーター,エレベーター,エレベーター
。	記号,句点,*,*,*,*,。,。,。
もともと	副詞,助詞類接続,*,*,*,*,もともと,モトモト,モトモト
設置	名詞,サ変接続,*,*,*,*,設置,セッチ,セッチ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
考え	動詞,自立,*,*,一段,未然形,考える,カンガエ,カンガエ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おら	動詞,非自立,*,*,五段・ラ行,未然形,おる,オラ,オラ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、	記号,読点,*,*,*,*,、,、,、
半ば	名詞,副詞可能,*,*,*,*,半ば,ナカバ,ナカバ
強引	名詞,形容動詞語幹,*,*,*,*,強引,ゴウイン,ゴーイン
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
備え付け	動詞,自立,*,*,一段,連用形,備え付ける,ソナエツケ,ソナエツケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
、	記号,読点,*,*,*,*,、,、,、
たびたび	副詞,助詞類接続,*,*,*,*,たびたび,タビタビ,タビタビ
故障	名詞,サ変接続,*,*,*,*,故障,コショウ,コショー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
起こし	動詞,自立,*,*,五段・サ行,連用形,起こす,オコシ,オコシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
ほとんど	副詞,一般,*,*,*,*,ほとんど,ホトンド,ホトンド
使い物	名詞,一般,*,*,*,*,使い物,ツカイモノ,ツカイモノ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
追い打ち	名詞,一般,*,*,*,*,追い打ち,オイウチ,オイウチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
駆ける	動詞,自立,*,*,一段,基本形,駆ける,カケル,カケル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
当局	名詞,一般,*,*,*,*,当局,トウキョク,トーキョク
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
安全	名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
指導	名詞,サ変接続,*,*,*,*,指導,シドウ,シドー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
入り	動詞,自立,*,*,五段・ラ行,連用形,入る,ハイリ,ハイリ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
、	記号,読点,*,*,*,*,、,、,、
運転	名詞,サ変接続,*,*,*,*,運転,ウンテン,ウンテン
停止	名詞,サ変接続,*,*,*,*,停止,テイシ,テイシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
命じ	動詞,自立,*,*,一段,未然形,命じる,メイジ,メイジ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
始末	名詞,サ変接続,*,*,*,*,始末,シマツ,シマツ
。	記号,句点,*,*,*,*,。,。,。
夏	名詞,一般,*,*,*,*,夏,ナツ,ナツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
繁忙	名詞,一般,*,*,*,*,繁忙,ハンボウ,ハンボー
期	名詞,接尾,一般,*,*,*,期,キ,キ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
エレベーター	名詞,一般,*,*,*,*,エレベーター,エレベーター,エレベーター
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
使え	動詞,自立,*,*,一段,未然形,使える,ツカエ,ツカエ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
と	助詞,接続助詞,*,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
せっかく	副詞,一般,*,*,*,*,せっかく,セッカク,セッカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
客足	名詞,一般,*,*,*,*,客足,キャクアシ,キャクアシ
も	助詞,係助詞,*,*,*,*,も,モ,モ
遠のい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,遠のく,トオノイ,トーノイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
しまう	動詞,非自立,*,*,五段・ワ行促音便,基本形,しまう,シマウ,シマウ
…	記号,一般,*,*,*,*,…,…,…
。	記号,句点,*,*,*,*,。,。,。
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
経営者	名詞,固有名詞,一般,*,*,*,経営者,ケイエイシャ,ケイエイシャ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
一計	名詞,一般,*,*,*,*,一計,イッケイ,イッケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
案じる	動詞,自立,*,*,一段,基本形,案じる,アンジル,アンジル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
。	記号,句点,*,*,*,*,。,。,。
そこで	接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ
考案	名詞,サ変接続,*,*,*,*,考案,コウアン,コーアン
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
「	記号,括弧開,*,*,*,*,「,「,「
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
称し	動詞,自立,*,*,五段・サ行,連用形,称す,ショウシ,ショーシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
コンテスト	名詞,一般,*,*,*,*,コンテスト,コンテスト,コンテスト
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
花柳界	名詞,一般,*,*,*,*,花柳界,カリュウカイ,カリューカイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
選ば	動詞,自立,*,*,五段・バ行,未然形,選ぶ,エラバ,エラバ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
100人	名詞,固有名詞,一般,*,*,*,100人,ヒャクニン,ヒャクニン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
凌雲	名詞,固有名詞,人名,名,*,*,凌雲,リョウウン,リョーウン
閣	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
一階	名詞,固有名詞,人名,姓,*,*,一階,イッカイ,イッカイ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
最上階	名詞,一般,*,*,*,*,最上階,サイジョウカイ,サイジョーカイ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
階段	名詞,一般,*,*,*,*,階段,カイダン,カイダン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
登り	動詞,自立,*,*,五段・ラ行,連用形,登る,ノボリ,ノボリ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン
気に入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,気に入る,キニイッ,キニイッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
投票	名詞,サ変接続,*,*,*,*,投票,トウヒョウ,トーヒョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
企画	名詞,サ変接続,*,*,*,*,企画,キカク,キカク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
この	連体詞,*,*,*,*,*,この,コノ,コノ
催し	名詞,一般,*,*,*,*,催し,モヨオシ,モヨーシ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
大成功	名詞,固有名詞,一般,*,*,*,大成功,ダイセイコウ,ダイセイコー
。	記号,句点,*,*,*,*,。,。,。
開催期間	名詞,固有名詞,一般,*,*,*,開催期間,カイサイキカン,カイサイキカン
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
5日間	名詞,固有名詞,一般,*,*,*,5日間,イツカ,イツカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
約	接頭詞,数接続,*,*,*,*,約,ヤク,ヤク
50000人	名詞,固有名詞,一般,*,*,*,50000人,ゴマンニン,ゴマンニン
も	助詞,係助詞,*,*,*,*,も,モ,モ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
押し掛ける	動詞,自立,*,*,一段,基本形,押し掛ける,オシカケル,オシカケル
ほど	助詞,副助詞,*,*,*,*,ほど,ホド,ホド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ
盛況	名詞,一般,*,*,*,*,盛況,セイキョウ,セイキョー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
洗い髪	名詞,一般,*,*,*,*,洗い髪,アライガミ,アライガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
当然	副詞,助詞類接続,*,*,*,*,当然,トウゼン,トーゼン
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
コンテスト	名詞,一般,*,*,*,*,コンテスト,コンテスト,コンテスト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ツギ	名詞,固有名詞,一般,*,*,*,ツギ,ツギ,ツギ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
も	助詞,係助詞,*,*,*,*,も,モ,モ
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
、	記号,読点,*,*,*,*,、,、,、
コンテスト	名詞,一般,*,*,*,*,コンテスト,コンテスト,コンテスト
当日	名詞,副詞可能,*,*,*,*,当日,トウジツ,トージツ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
髪結い	名詞,一般,*,*,*,*,髪結い,カミユイ,カミユイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
依頼	名詞,サ変接続,*,*,*,*,依頼,イライ,イライ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
自宅	名詞,一般,*,*,*,*,自宅,ジタク,ジタク
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
待機	名詞,サ変接続,*,*,*,*,待機,タイキ,タイキ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、	記号,読点,*,*,*,*,、,、,、
いつ	名詞,代名詞,一般,*,*,*,いつ,イツ,イツ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
経っ	動詞,自立,*,*,五段・タ行,連用タ接続,経つ,タッ,タッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
肝心	名詞,形容動詞語幹,*,*,*,*,肝心,カンジン,カンジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
髪結い	名詞,一般,*,*,*,*,髪結い,カミユイ,カミユイ
師	名詞,接尾,一般,*,*,*,師,シ,シ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
現れ	動詞,自立,*,*,一段,未然形,現れる,アラワレ,アラワレ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
。	記号,句点,*,*,*,*,。,。,。
刻一刻	副詞,一般,*,*,*,*,刻一刻,コクイッコク,コクイッコク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
迫る	動詞,自立,*,*,五段・ラ行,基本形,迫る,セマル,セマル
エントリー	名詞,サ変接続,*,*,*,*,エントリー,エントリー,エントリー
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
に対し	助詞,格助詞,連語,*,*,*,に対し,ニタイシ,ニタイシ
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
サッと	副詞,一般,*,*,*,*,サッと,サット,サット
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
美しい	形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ
長髪	名詞,一般,*,*,*,*,長髪,チョウハツ,チョーハツ
